VAR00002,VAR00003,¼ºº°,ÇÐ·Â,°áÈ¥¿©ºÎ,ÀÚ³à¿©ºÎ,°ÅÁÖÇüÅÂ,Á¾±³,Å°¿î±â°£,¹Ý·Áµ¿¹°³ªÀÌ,»ó½ÇÈÄ°æ°ú±â°£,»ó½ÇÈÄ°æ°ú½Ã°£,¹Ý·Áµ¿¹°Á¾·ù,¹Ý·Áµ¿¹°Ä£¹Ðµµ,»ó½Ç¿¹Ãø°¡´É¼º,»ó½Ç¿øÀÎ,µÎ¹øÂ°»ó½Ç¿øÀÎ¼ýÀÚ,Ltotal,¾È¶ô»çÀÌÀ¯,ÀÓÁ¾½Ãµ¿Çà¿©ºÎ,¹Ý·Áµ¿¹°°ü°è,Á¤½Å°úÁø·á,±×³ÉÁ¤½Å°úÁø·á,Áø·á³»¿ë,ÁöÁöÀÚ¿ø,ÀÌÀü»ó½Ç°æÇè,»ó½Ç¸¶¸®¼ö,ÇÊÅÍ¸µ¼öµµÁú¹®,´Ù¸¥¹Ý·Áµ¿¹°¼ýÀÚ,´Ù¸¥µ¿¹°º¸À¯¿©ºÎ,º¸À¯¸¶¸®¼ö,»õ·Î¿îÀÔ¾ç¿©ºÎ,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,ÇÊÅÍ¸µ1,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,G12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,Âü°¡ÀÚÁ¦°Å,Stotal,SxL,filter_$,Ctotal,Gtotal,Ä£¹Ðµµ¼ýÀÚ1,¼ºº°¼ýÀÚ,¿¹Ãø°¡´É¼º¼ýÀÚ,ÇÐ·Â¼ýÀÚ,°áÈ¥¿©ºÎ¼ýÀÚ,ÀÚ³à¿©ºÎ¼ýÀÚ,°ÅÁÖÇüÅÂ¼ýÀÚ,Á¾±³¼ýÀÚ,ÁöÁöÀÚ¿ø¼ýÀÚ,ÀÓÁ¾½Ãµ¿Çà¼ýÀÚ,¹Ý·Áµ¿¹°Á¾·ù¼ýÀÚ,»ó½Ç¿øÀÎ¼ýÀÚ,¹Ý·ÁÁ¤½Å°ú¼ýÀÚ,±×³ÉÁ¤½Å°ú¼ýÀÚ,»õÀÔ¾ç¼ýÀÚ,Lmd,Smd,LmdxSmd,¹Ý·Áµ¿¹°°ü°è¼ýÀÚ,ÀÌÀü»ó½Ç¼ýÀÚ,»ó½ÇÀÇÃæ°Ý°úÈ¥¶õ,»ó½ÇÀÇ°íÅë1,º¹ÇÕºÐ¸®°íÅë,º¹ÇÕ¿Ü»ó°íÅë,Ãæ°ÝLmd,°íÅë1md,°íÅë1mdxSmd,Ãæ°ÝLmdxSmd,¿¬·É´ë,Ctotalrr,°áÈ¥2,ÂðºÐ¸®°íÅë,Âð¿Ü»ó°íÅë
2020/01/20 9:02:19 ¿ÀÀü GMT+,¿,³²,´ëÇÐ¿ø,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,±âµ,1,1,1,1,°³,¸Å¿ì Ä£,"2, °©ÀÛ½º·",»ç°í,3,53, ,¾Æ´,ºÎ¸ð-ÀÚ³,¾Æ´,¾Æ´, ,Ä£±¸,¾øÀ, ,1,2,¾Æ´, ,¾Æ´,5,4,3,4,5,5,3,3,4,2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,4,2,1,1,5,4,3,1,1,1,1,1,1,1,1,1,1,1,4,1,3,2,3,2,1,1,1,1,1,1,1,0°³¿ùÈ,3,¾Æ´,3,3,4,3,3,3,3,3,4,3,4,4,1,19,1007,1,49,40,5,1,2,3,1,1,1,2,2,1,1,3,1,1,1,-11.5512,-12.9122,149.15140464,1,2,33,17,20,32,.170699999999997,-10.6439,137.43616558,-2.20411253999995,3,52,1,15,19
2019/12/26 4:30:20 ¿ÀÈÄ GMT+,¿,³²,´ëÇÐ¿ø,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,±âµ,6,6,2,2,°³,Á¶±Ý Ä£,"2, °©ÀÛ½º·",»ç°í,3,105, ,¾Æ´,ÇüÁ¦/ÀÚ¸,¾Æ´,¾Æ´, ,¾øÀ½,¾øÀ, ,1,2,¾Æ´, ,¾Æ´,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,0°³¿ù,11,¿¹,2,2,2,2,2,2,2,2,2,2,2,2,1,59,6195,1,146,24,4,1,2,3,1,1,1,2,1,1,1,3,1,1,1,40.4488,27.0878,1095.66900464,3,2,40,60,90,60,7.1707,32.3561,876.45556558,194.23848746,2,150,1,25,60
2019/12/25 5:44:28 ¿ÀÈÄ GMT+,¿,³²,°íµîÇÐ±,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,¹«±,15,15,1,1,°³,¸Å¿ì Ä£,"4, ¿¹»ó°¡´",³ëÈ­,4,36, ,¾Æ´,Ä£±¸,¾Æ´,¾Æ´, ,¾øÀ½,¾øÀ, ,1,2,¾Æ´, ,¾Æ´,4,2,2,2,2,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,0,1,¾Æ´,3,2,3,2,3,3,3,4,4,2,4,4,1,18,648,1,39,37,5,1,1,1,1,1,1,1,1,1,1,4,1,1,1,-28.5512,-13.9122,397.21000464,2,2,20,12,18,24,-12.8293,-15.6439,217.64106558,178.48378746,2,42,1,11,15
2020/01/22 9:02:51 ¿ÀÈÄ GMT+,¿,³²,´ëÇÐ±³,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,±âµ,15,15,2,3,°³,¸Å¿ì Ä£,"4, ¿¹»ó°¡´",³ëÈ­,4,33, ,¾Æ´,Ä£±¸,¾Æ´,¾Æ´, ,"ºÎ¸ð;ÇüÁ¦, ÀÚ¸Å,³²¸Å",ÀÖÀ,1¸¶,1,2,¾Æ´, ,¾Æ´,4,1,1,1,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0°³¿ù,1,¾Æ´,1,1,1,1,1,1,1,1,4,1,3,3,1,15,495,1,35,19,5,1,1,2,1,1,1,2,2,1,1,4,1,1,1,-31.5512,-16.9122,533.60020464,2,1,20,12,18,17,-12.8293,-15.6439,264.57276558,216.97168746,3,35,1,10,12
2020/01/18 10:09:54 ¿ÀÈÄ GMT,¿,³²,´ëÇÐ±³,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,¹«±,14,14,1,1,°³,¸Å¿ì Ä£,"2, °©ÀÛ½º·",³ëÈ­,4,88, ,¾Æ´,ºÎ¸ð-ÀÚ³,¾Æ´,¿¹, ,ºÎ¸ð;Ä£±¸,¾øÀ,1¸¶,1,2,¾Æ´, ,¾Æ´,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,2,4,2,4,4,2,3,2,2,3,2,3,2,3,3,3,2,3,3,3,4,5,2,4,5,5,3,3,4,4,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,3,4,3,2,0°³¿ùÈ,7,¾Æ´,4,5,4,3,4,3,4,2,3,3,3,1,1,39,3432,1,126,39,5,1,2,2,1,1,1,1,2,1,1,4,1,2,1,23.4488,7.0878,166.20040464,1,2,40,43,74,56,7.1707,15.3561,108.84096558,50.82448746,3,130,1,22,54
2019/12/29 7:49:54 ¿ÀÈÄ GMT+,¿,³²,°íµîÇÐ±,¹Ì,¾øÀ,È¥ÀÚ °ÅÁÖ,¹«±,1,2,1,1,°³,¸Å¿ì Ä£,"2, °©ÀÛ½º·",¾È¶ô»,5,49, ,¾Æ´,ÇüÁ¦/ÀÚ¸,¾Æ´,¾Æ´, ,"ºÎ¸ð;ÇüÁ¦, ÀÚ¸Å,³²¸Å",¾øÀ, ,1,2,¾Æ´, ,¾Æ´,4,3,3,3,4,5,3,2,5,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,3,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,0°³¿ù,1,¾Æ´,3,3,4,3,4,3,4,4,5,2,5,5,1,21,1029,1,45,45,5,1,2,1,1,1,1,1,2,1,1,5,1,1,1,-15.5512,-10.9122,169.69780464,3,2,30,17,24,21,-2.8293,-10.6439,116.14836558,30.87388746,2,45,1,9,17
2020/01/23 2:47:20 ¿ÀÀü GMT+,¿,³²,´ëÇÐ±³,¹Ì,¾øÀ,°¡Á·ÀÌ ¾Æ,¹«±,0,0,1,1,°í¾,¸Å¿ì Ä£,"4, ¿¹»ó°¡´",¿µ¾çº,1,56, ,¿¹,Ä£±¸,¾Æ´,¾Æ´, ,Ä£±¸,¾øÀ, ,1,2,¾Æ´, ,¾Æ´,5,5,4,4,5,5,4,4,1,2,1,1,1,1,1,4,1,2,2,1,2,2,2,1,1,1,1,1,1,1,3,3,1,1,1,1,2,2,3,1,4,4,1,1,2,1,1,2,2,2,3,2,2,1,4,1,3,1,2,2,2,2,2,1,2,2,2,0°³¿ùÈ,6,¾Æ´,2,2,2,2,3,2,2,3,3,2,3,4,1,21,1176,1,58,30,5,1,1,2,1,1,2,1,2,2,2,2,1,1,1,-8.55119999999999,-10.9122,93.3124046399999,2,2,33,19,31,30,.170699999999997,-8.6439,94.32396558,-1.86271253999996,3,61,1,15,21
2020/01/19 7:50:26 ¿ÀÀü GMT+,¿,³²,´ëÇÐ±³,±â,ÀÖÀ,°¡Á·°ú ÇÔ,±âµ,3,10,2,2,°³,Á¶±Ý Ä£,"4, ¿¹»ó°¡´",¸¸¼º,1,63, ,¾Æ´,Ä£±¸,¾Æ´,¾Æ´, ,¾øÀ½,¾øÀ, ,1,2,¾Æ´, ,¾Æ´,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,3,3,3,3,3,3,3,3,3,6°³¿ù,1,¾Æ´,3,3,3,3,3,3,3,3,3,3,3,3,1,42,2646,1,89,36,4,1,1,2,2,2,2,2,1,1,1,1,1,1,1,-1.55119999999999,10.0878,-15.6481953599999,2,2,24,36,54,37,-8.8293,8.3561,84.29466558,-89.06821254,4,91,2,15,36
2019/12/25 9:58:48 ¿ÀÈÄ GMT+,¿,³²,´ëÇÐ±³,¹Ì,¾øÀ,°¡Á·°ú ÇÔ,¹«±,6,7,2,3,°í¾,Á¶±Ý Ä£,"4, ¿¹»ó°¡´",±Þ¼º,2,45, ,¿¹,ÇüÁ¦/ÀÚ¸,¾Æ´,¾Æ´, ,"ºÎ¸ð;ÇüÁ¦, ÀÚ¸Å,³²¸Å",¾øÀ, ,1,2,¾Æ´, ,¾Æ´,4,3,4,2,4,4,2,2,1,1,1,1,1,1,3,1,1,1,3,1,4,1,3,1,1,1,1,2,1,3,3,3,1,4,1,3,2,1,1,1,4,1,1,3,4,1,1,1,2,1,2,3,1,1,3,1,1,1,1,2,3,1,3,1,1,3,3,0°³¿ù,2,¾Æ´,3,1,1,3,3,2,3,3,1,1,2,3,1,29,1305,1,52,26,4,1,1,2,1,1,2,1,2,2,2,2,1,1,1,-19.5512,-2.9122,56.93700464,3,2,24,19,30,24,-8.8293,-8.6439,25.17276558,25.71268746,2,54,1,8,23
2019/12/26 11:10:24 ¿ÀÀü GMT,¿,³²,°íµîÇÐ±,¹Ì,¾øÀ,°¡Á·°ú ÇÔ,¹«±,4,4,2,2,°³,¸Å¿ì Ä£,"2, °©ÀÛ½º·",±Þ¼º,2,54, ,¾Æ´,ÇüÁ¦/ÀÚ¸,¾Æ´,¾Æ´, ,"ÇüÁ¦, ÀÚ¸Å,³²¸Å;¿Â¶ó",¾øÀ, ,1,2,¾Æ´, ,¾Æ´,3,3,3,3,3,4,3,3,4,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,2,2,2,3,3,2,2,2,2,2,2,3,4,2,3,2,3,3,1,4,2,4,3,3,2,2,2,2,2,3,1´ÞÀÌ³,1,¾Æ´,3,3,3,3,3,3,4,4,3,3,3,4,1,33,1782,1,74,39,5,1,2,1,1,1,2,1,2,1,1,2,1,1,1,-10.5512,1.0878,-11.47759536,3,2,26,25,40,36,-6.8293,-2.6439,-2.87603442,-7.42891254000001,2,76,1,14,29
